バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,最終プレー日時
copula,Set U Free feat. Kanae Asaba,HARD TRANCE,Y&Co.,0,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
copula,SHELTER OF THE MIND,ROCKIN' DRUM&BASS,YURiCa/花たん,23,6,0,0,0,---,HARD CLEAR,---,9,1498,611,276,25,HARD CLEAR,A,11,2077,834,409,64,HARD CLEAR,A,2017-10-28 21:03
copula,STARLiGHT,DANCE SPEED GOLD,星龍,1,5,0,0,0,---,NO PLAY,---,9,1284,482,320,31,EASY CLEAR,A,11,0,0,0,---,NO PLAY,---,2016-11-02 19:08
copula,STARLIGHT DANCEHALL,HAPPY EMOTION,P*Light,0,6,0,0,0,---,HARD CLEAR,---,9,0,0,0,---,EASY CLEAR,---,11,0,0,0,---,NO PLAY,---,2016-10-26 17:45
copula,StrayedCatz,FANTASY,削除,3,6,0,0,0,---,NO PLAY,---,10,1254,478,298,69,EASY CLEAR,B,12,0,0,0,---,NO PLAY,---,2017-06-11 20:37
copula,SURVIVOR,GRAVITY POP,SOUND HOLIC Vs. ZYTOKINE feat. Nana Takahashi,0,4,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,EASY CLEAR,---,2016-10-26 17:45
copula,To The Paradise,EDM,DJ Genki feat. SHIN from HYPERNOVA,0,3,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
copula,Tori-no-kimochi,WORLD/ELECTRONICA,猫叉Master+,2,1,0,0,0,---,NO PLAY,---,6,0,0,0,---,CLEAR,---,10,1281,495,291,56,EASY CLEAR,B,2017-07-25 10:18
copula,Transport,TECH-TRANCE,Sota Fujimori,2,5,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,ASSIST CLEAR,---,10,1578,626,326,26,HARD CLEAR,A,2017-09-25 19:18
copula,Triple Counter,RISK + VACUUM,DJ YOSHITAKA meets dj TAKA,10,7,0,0,0,---,NO PLAY,---,10,1682,676,330,26,HARD CLEAR,A,12,0,0,0,---,NO PLAY,---,2017-11-28 22:20
copula,Uh-Oh,CANDY RAVE,kors k,2,5,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,EASY CLEAR,---,11,1525,562,401,88,EASY CLEAR,B,2017-08-17 20:25
copula,Violet Pulse,GLITCH ELECTRO,G.K,1,2,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,ASSIST CLEAR,---,10,1320,495,330,89,CLEAR,C,2017-08-20 19:02
copula,Violet Rose,LATIN JAZZ TRIO,OSTER project,0,7,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,EASY CLEAR,---,11,0,0,0,---,NO PLAY,---,2016-10-26 17:45
copula,Welcome,HARDCORE,Uraken,0,4,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,2016-10-26 17:45
copula,Wheel of Journey,ETHNIC,Vivian,2,3,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,NO PLAY,---,10,1675,707,261,24,HARD CLEAR,AA,2017-08-24 20:36
copula,X,RENAISSANCE,D.J.Amuro,19,7,0,0,0,---,HARD CLEAR,---,10,1724,697,330,52,HARD CLEAR,A,12,0,0,0,---,NO PLAY,---,2017-10-15 23:01
copula,ZEPHYRANTHES,BLOOM CORE,TAG,18,5,0,0,0,---,NO PLAY,---,9,1213,473,267,36,EASY CLEAR,B,11,1726,673,380,106,CLEAR,B,2017-11-25 22:17
copula,か・し・ま・し☆PUMP UP！,SUMMER WORKOUT,miko,4,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1734,661,412,88,EASY CLEAR,B,2017-11-27 22:22
copula,めいさいアイドル☆あいむちゃん♪,電波デステクノ,DJ SHARPNEL feat. みらい,10,7,0,0,0,---,HARD CLEAR,---,10,1476,558,360,58,CLEAR,B,12,0,0,0,---,NO PLAY,---,2017-10-05 20:19
copula,オルタネイトβ,HYPER J-POP,Xceon feat. Mayumi Morinaga,14,4,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,CLEAR,---,10,1795,777,241,32,CLEAR,AA,2017-09-27 22:16
copula,ギョギョっと人魚 爆婚ブライダル,Hi-RESORT電波,海の底からマーメイド Prim by ARM×狐夢想,9,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,10,1629,649,331,91,CLEAR,A,2017-11-22 22:07
copula,シュッパツシンコウ・シサカンコ,KANA-POP,星野奏子,4,5,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,CLEAR,---,10,1742,722,298,55,CLEAR,A,2017-11-28 19:20
copula,セロトニン,ORBITALICTRO,U1 overground,0,6,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,ASSIST CLEAR,---,11,0,0,0,---,NO PLAY,---,2016-10-26 17:45
copula,太陽SUNSUNボンジュールアバンチュール,PIECED SUNDAY,Project B-,10,6,0,0,0,---,EX HARD CLEAR,---,8,0,0,0,---,CLEAR,---,11,1711,661,389,120,EASY CLEAR,B,2017-08-24 20:05
copula,少女アリスと箱庭幻想コンチェルト,空想ファンタジーシリーズ,DJ TOTTO,3,5,0,0,0,---,CLEAR,---,8,0,0,0,---,EASY CLEAR,---,10,1293,514,265,102,EASY CLEAR,B,2017-07-20 21:58
copula,明鏡止水,禅ジャズ,TOMOSUKE feat. あさき,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,EASY CLEAR,---,11,0,0,0,---,NO PLAY,---,2016-10-26 17:45
copula,星屑ディスタンシア,GLITCH JAZZ,ARM feat. 普透明度 + Brasscapsule,9,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,EX HARD CLEAR,---,10,1460,570,320,42,HARD CLEAR,A,2017-08-28 14:25
copula,朝焼けから始まるボクらの小さな旅,ARTCORE ROCK,cosMo＠暴走P,3,5,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,EASY CLEAR,---,11,1615,638,339,100,EASY CLEAR,B,2017-09-03 15:53
copula,灼熱 Pt.2 Long Train Running,BROKEN SAMBA BREAK,DJ Mass MAD Izm*,99,7,0,0,0,---,HARD CLEAR,---,11,1325,457,411,71,CLEAR,B,12,0,0,0,---,NO PLAY,---,2017-12-02 16:29
copula,真 地獄超特急 -HELL or HELL-,新世紀進歩的羽扇子音楽,DJ TECHNORCH Vs. L.E.D.Light-G,10,7,0,0,0,---,ASSIST CLEAR,---,10,1653,706,241,37,EASY CLEAR,A,12,0,0,0,---,NO PLAY,---,2017-09-18 21:31
copula,紫陽花 -AZISAI-,ORIENTAL TECHDANCE,Camellia Vs. Expander,1,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,1635,602,431,143,ASSIST CLEAR,C,2017-11-09 22:52
copula,追想快晴テーマパーク,FUTURE E-POP,PHQUASE,7,6,0,0,0,---,EX HARD CLEAR,---,10,1674,709,256,21,HARD CLEAR,A,11,1949,772,405,130,FAILED,B,2017-11-09 22:04
copula,量子の海のリントヴルム,エピックプログレ,黒猫ダンジョン,4,6,0,0,0,---,EX HARD CLEAR,---,9,786,277,232,94,EASY CLEAR,D,11,1556,594,368,137,FAILED,C,2017-11-21 22:42
copula,駅猫のワルツ,にゃんコア,ミニョンヌ鉄道兄弟,6,6,0,0,0,---,NO PLAY,---,10,1274,458,358,93,EASY CLEAR,C,12,0,0,0,---,NO PLAY,---,2017-12-02 12:41
copula,麗 ～うらら～,WINTER GLOW,SOUND HOLIC feat. Nana Takahashi,34,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1662,667,328,86,CLEAR,B,2017-12-01 23:49
SINOBUZ,!Viva!,TRIBAL HOUSE,Ryu*,3,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1473,606,261,34,HARD CLEAR,A,2017-11-09 22:34
SINOBUZ,#MAGiCVLGiRL_TRVP_B3VTZ,NEON/TWERKCORE,DJ Noriken,2,6,0,0,0,---,NO PLAY,---,9,1425,578,269,48,EASY CLEAR,A,12,0,0,0,---,NO PLAY,---,2016-11-05 15:46
SINOBUZ,(This Is Not) The Angels,BIG BEAT/BREAKBEATS,Hommarju,2,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,1840,723,394,76,EASY CLEAR,A,2017-11-09 22:43
SINOBUZ,Affection,HARD DANCE,ni-21,1,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,1487,600,287,15,HARD CLEAR,A,2017-11-09 22:20
SINOBUZ,Amazing Mirage,HiTECH FULLON,lapix,9,5,0,0,0,---,NO PLAY,---,9,1109,423,263,40,EASY CLEAR,B,11,1621,605,411,111,EASY CLEAR,B,2017-11-12 22:58
SINOBUZ,AO-∞,DANCE SPEED,青龍,9,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,1810,685,440,62,CLEAR,B,2017-10-03 19:41
SINOBUZ,Around The Galaxy,UPLIFTING TRANCE,NISH,2,5,0,0,0,---,NO PLAY,---,9,1350,516,318,61,EASY CLEAR,B,11,1864,704,456,105,ASSIST CLEAR,C,2017-12-02 16:20
SINOBUZ,AsiaN distractive,WORLD,猫叉劇団,12,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,1757,716,325,93,CLEAR,B,2017-10-28 13:16
SINOBUZ,BabeL ～Grand Story～,SPIRAL STAIRS,Ako Atak,14,6,0,0,0,---,NO PLAY,---,10,1491,571,349,43,HARD CLEAR,A,11,1782,680,422,72,CLEAR,B,2017-11-30 22:20
SINOBUZ,Be A Star,ALTERNATIVE TECHNO POP,PHQUASE feat.ぁゅ,16,4,0,0,0,---,NO PLAY,---,9,1417,581,255,17,EASY CLEAR,A,11,1980,831,318,107,CLEAR,A,2017-11-28 19:00
SINOBUZ,Believe in you,HARDCORE RAVE,DJ Shimamura feat. Renna,3,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1853,785,283,47,HARD CLEAR,A,2017-09-23 21:23
SINOBUZ,Beyond The Seven,TRANCE,Nhato,7,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,11,1738,667,404,72,CLEAR,B,2017-11-07 17:05
SINOBUZ,BREAK OVER,FESTIVAL SOUND,MASAYOSHI IIMORI,1,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1550,595,360,64,EASY CLEAR,B,2017-08-29 19:04
SINOBUZ,Breakin' Chain,MOOMBAHCORE,REDALiCE feat. MONICO,3,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1796,755,286,37,HARD CLEAR,A,2017-09-16 22:16
SINOBUZ,BroGamer,SUPER ULTIMATE HYPER CORE,USAO,15,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2154,864,426,116,ASSIST CLEAR,A,2017-11-22 21:58
SINOBUZ,Caterpillar,HARD TRAP,Eagle,2,6,0,0,0,---,NO PLAY,---,10,1480,575,330,31,HARD CLEAR,B,12,0,0,0,---,NO PLAY,---,2017-11-05 23:08
SINOBUZ,crew,ANTHEM,beatnation Records,6,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,1865,715,435,54,CLEAR,B,2017-10-15 22:35
SINOBUZ,DISAPPEAR feat. koyomin,EMOTIONAL HI-TECH,DJ Genki,1,4,0,0,0,---,NO PLAY,---,9,1067,420,227,62,EASY CLEAR,B,11,0,0,0,---,NO PLAY,---,2016-11-02 18:42
SINOBUZ,DORNWALD ～Junge～,ARCHAIC TALE EP1,DJ TOTTO,16,6,0,0,0,---,NO PLAY,---,10,1650,668,314,27,HARD CLEAR,A,12,0,0,0,---,NO PLAY,---,2017-11-06 19:44
SINOBUZ,ECHIDNA,HYBRID BUCHIAGE TRANCE,HuΣeR,1,6,0,0,0,---,NO PLAY,---,10,1334,522,290,92,EASY CLEAR,B,12,0,0,0,---,NO PLAY,---,2017-08-03 21:33
SINOBUZ,Egret and Willow,FUTURE BEATS,Dirty Androids,2,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,1944,787,370,78,CLEAR,A,2017-11-10 20:32
SINOBUZ,FUZIN RIZIN,HYPER DIGIMETAL,SOUND HOLIC feat. Nana Takahashi & 709sec.,3,5,0,0,0,---,NO PLAY,---,9,1610,687,236,24,HARD CLEAR,AA,12,0,0,0,---,NO PLAY,---,2017-09-19 22:36
SINOBUZ,Go Ahead!!,TRANCE CORE,Ryu☆ Vs. Sota,12,7,0,0,0,---,NO PLAY,---,10,1180,492,196,36,HARD CLEAR,A,12,0,0,0,---,NO PLAY,---,2017-11-21 23:22
SINOBUZ,GuNGNiR,REQUIEM PSY,Gram,30,7,0,0,0,---,NO PLAY,---,11,1668,656,356,113,CLEAR,B,12,0,0,0,---,NO PLAY,---,2017-11-29 18:53
SINOBUZ,HADES,HARDSTYLE,Massive New Krew,3,5,0,0,0,---,NO PLAY,---,9,1285,511,263,62,CLEAR,A,12,0,0,0,---,NO PLAY,---,2016-12-06 21:35
SINOBUZ,HAPPY★RUSH,HAPPY,P*Light,14,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1812,703,406,142,FAILED,B,2017-12-02 12:19
SINOBUZ,Honey Trap,HYPER TRAP,Expander,16,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,1754,702,350,72,CLEAR,A,2017-11-28 19:07
SINOBUZ,Macuilxochitl,PIANO CONTEMPORARY,TOMOSUKE,4,7,0,0,0,---,NO PLAY,---,10,1531,602,327,32,HARD CLEAR,A,11,1550,568,414,257,FAILED,C,2017-11-28 22:50
SINOBUZ,Magical,KAWAII FUTURE BASS,Snail's House,3,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,1526,630,266,19,HARD CLEAR,A,2017-08-26 21:53
SINOBUZ,Mare Nectaris,EXPERIMENTAL,神楽,21,7,0,0,0,---,NO PLAY,---,10,1459,583,293,71,EASY CLEAR,B,12,0,0,0,---,NO PLAY,---,2017-12-02 13:06
SINOBUZ,Modular Technology,TECHNO,Sota Fujimori,1,6,0,0,0,---,NO PLAY,---,10,1384,520,344,20,HARD CLEAR,A,11,0,0,0,---,NO PLAY,---,2017-11-28 22:36
SINOBUZ,Music is The Answer,TURBOFUNK,C-Show,2,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1246,486,274,51,EASY CLEAR,B,2017-08-07 20:57
SINOBUZ,OOO,BUBBLEGUM DANCE,Ryu☆ feat.moimoi,6,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1597,651,295,12,EX HARD CLEAR,A,2017-09-19 21:28
SINOBUZ,OTENAMI Hurricane,POP BREAKCORE,t+pazolite,3,6,0,0,0,---,NO PLAY,---,10,1436,561,314,80,EASY CLEAR,B,12,0,0,0,---,NO PLAY,---,2017-07-26 10:31
SINOBUZ,PAPAYAPA BASS,MONDO-GROOVE BASSHOUSE,かめりあ feat. ななひら,3,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,1920,755,410,76,CLEAR,A,2017-11-07 17:20
SINOBUZ,Piano Samurai,BEAT PIANO MUSIC,maras k(marasy+kors k),4,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,1695,669,357,71,CLEAR,A,2017-08-22 21:45
SINOBUZ,Quakes,HARD BREAK BEATS,dj Hellix,3,6,0,0,0,---,NO PLAY,---,10,1468,584,300,55,EASY CLEAR,A,12,0,0,0,---,NO PLAY,---,2017-12-02 12:23
SINOBUZ,RAIN,TRANCE,dj TAKA,1,6,0,0,0,---,NO PLAY,---,9,1377,568,241,25,HARD CLEAR,A,12,0,0,0,---,NO PLAY,---,2017-11-07 17:11
SINOBUZ,Remedy feat. Kanae Asaba,哀愁EUROBEAT,Y&Co.,6,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1555,643,269,48,HARD CLEAR,A,2017-08-24 21:04
SINOBUZ,ROTTERDAM SHOGUN,RDM,ABDI from ジャカルタファンクブラザーズ,1,6,0,0,0,---,NO PLAY,---,9,1280,523,234,47,EASY CLEAR,A,11,0,0,0,---,NO PLAY,---,2016-11-02 18:55
SINOBUZ,SAMURAI-Scramble,TECH BREAKBEATS,DJ Mass MAD Izm*,28,5,0,0,0,---,NO PLAY,---,9,989,357,275,94,CLEAR,B,11,1449,514,421,126,EASY CLEAR,B,2017-10-04 19:47
SINOBUZ,Sarutobi Champion is 拙者,PIECED MAKIBISHI,Project B-,11,6,0,0,0,---,NO PLAY,---,9,1203,501,201,31,HARD CLEAR,A,11,1524,597,330,62,EASY CLEAR,B,2017-10-27 21:18
SINOBUZ,SCREAM THE LIFE FEAT.KYONO,ROCK,DJ BAKU,3,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1690,656,378,32,HARD CLEAR,A,2017-09-10 22:27
SINOBUZ,Seize the Day,FUTURE BASS,DJ'TEKINA//SOMETHING feat.yuyoyuppe,2,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1339,497,345,96,EASY CLEAR,B,2017-08-13 20:23
SINOBUZ,Selfish Sweet,R&B,OSTER project feat. かなたん,1,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1086,401,284,60,EASY CLEAR,B,2016-10-26 18:56
SINOBUZ,SEQUENCE CAT,TECHNO,SLEDLAKE (SLAKE & L.E.D.),2,5,0,0,0,---,NO PLAY,---,10,1614,647,320,29,HARD CLEAR,A,11,0,0,0,---,NO PLAY,---,2017-11-09 22:07
SINOBUZ,shuriken,CHIPTUNE,ヒゲドライバー,10,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,1708,657,394,80,CLEAR,B,2017-11-07 17:46
SINOBUZ,SINOBUZ Fantasy,CANDY ROCK,Noria,20,6,0,0,0,---,NO PLAY,---,9,1234,484,266,41,CLEAR,A,10,1875,787,301,45,HARD CLEAR,A,2017-11-08 20:42
SINOBUZ,Sky High,ANTHEM,Cuvelia,7,6,0,0,0,---,NO PLAY,---,10,1473,558,357,87,EASY CLEAR,B,12,0,0,0,---,NO PLAY,---,2017-08-13 20:14
SINOBUZ,Snakey Kung-fu,ASIAN CONTEMPORARY,金獅子 vs 麒麟 feat. 獏,3,6,0,0,0,---,NO PLAY,---,10,1544,628,288,31,HARD CLEAR,A,12,0,0,0,---,NO PLAY,---,2017-11-15 22:24
SINOBUZ,Steel Edge,DRUM&BASS,Maozon,8,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,12,2175,881,413,122,EASY CLEAR,A,2017-11-30 22:30
SINOBUZ,Summer,DANCE MUSIC,banvox,3,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1304,514,276,63,EASY CLEAR,B,2017-11-07 17:17
SINOBUZ,Super Rush,HARDTEK,kors k,1,6,0,0,0,---,NO PLAY,---,9,1384,560,264,25,EASY CLEAR,A,12,0,0,0,---,NO PLAY,---,2016-10-28 20:36
SINOBUZ,Sweet Clapper,J-POP,livetune+,6,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1636,733,170,10,HARD CLEAR,AA,2017-10-18 19:51
SINOBUZ,The Commanders,HARDSTYLE,USAO,3,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1756,719,318,89,EASY CLEAR,A,2017-09-25 18:39
SINOBUZ,TOGAKUSHI,HARD TRANCE,SETUP,2,5,0,0,0,---,NO PLAY,---,10,1122,430,262,140,EASY CLEAR,B,12,0,0,0,---,NO PLAY,---,2017-07-28 22:02
SINOBUZ,Umbral,UPLIFTING TRANCE,Maozon,1,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1405,574,257,13,HARD CLEAR,A,2017-11-09 22:49
SINOBUZ,Warrior,MAINSTREAM HARDCORE,DJ CHUCKY feat. Jonjo,1,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1753,728,297,83,EASY CLEAR,A,2017-07-25 10:31
SINOBUZ,XINOBIKILL,CYBER JAZZSTEP,SOUND HOLIC feat. Nana Takahashi,11,6,0,0,0,---,NO PLAY,---,9,1180,458,264,52,EASY CLEAR,B,11,1858,711,436,100,CLEAR,B,2017-10-27 23:13
SINOBUZ,〆,HiTECH,lapix,1,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,1957,706,545,258,FAILED,C,2017-11-09 23:05
SINOBUZ,お命ちょうDAI！901娘,演歌ブレイクス,DJ SHARPNEL feat. みらい,7,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1711,709,293,41,HARD CLEAR,A,2017-11-09 23:02
SINOBUZ,イザナミノナゲキ,WORLD/ELECTRONICA,猫叉Master,1,6,0,0,0,---,NO PLAY,---,9,1629,681,267,10,HARD CLEAR,AA,12,0,0,0,---,NO PLAY,---,2017-11-29 19:23
SINOBUZ,ディッシュウォッシャー◎彡おいわちゃん,ネオスカ電波,ARM×狐夢想 feat. 山本椛,13,3,616,271,74,4,ASSIST CLEAR,AA,7,0,0,0,---,NO PLAY,---,11,1686,661,364,84,CLEAR,B,2017-10-25 20:55
SINOBUZ,九尾狐夜行,ORIENTAL FUSION,天狐,1,5,0,0,0,---,NO PLAY,---,9,1161,438,285,20,EASY CLEAR,B,12,0,0,0,---,NO PLAY,---,2016-11-21 22:52
SINOBUZ,冬椿 ft. Kanae Asaba,HYPER ENKA POP,Xceon,13,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1653,674,305,35,HARD CLEAR,A,2017-11-12 23:38
SINOBUZ,忍恋花,忍歌,黒脛,3,5,0,0,0,---,NO PLAY,---,9,1127,457,213,51,EASY CLEAR,B,11,0,0,0,---,NO PLAY,---,2016-11-05 15:18
SINOBUZ,恋はどう？モロ◎波動OK☆方程式!!,理系ポップ,あべにゅうぷろじぇくと feat. 佐倉紗織 produced by ave;new,1,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1635,604,427,55,NO PLAY,B,2017-09-24 19:20
SINOBUZ,月雪に舞う華のように,FOREST SNOW,猫叉Master,2,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1540,619,302,44,HARD CLEAR,A,2017-09-16 21:54
SINOBUZ,次葉 -turn the page-,POP ROCK,小寺可南子,5,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1450,598,254,31,HARD CLEAR,A,2017-09-19 22:30
SINOBUZ,津軽雪,MICHINOKU,罠師 VS 安室,4,7,0,0,0,---,NO PLAY,---,10,1529,606,317,33,HARD CLEAR,A,12,0,0,0,---,NO PLAY,---,2017-11-07 17:57
SINOBUZ,火影,HIP HOP,RoughSkreamZ feat.楽天斎,1,5,0,0,0,---,NO PLAY,---,9,877,307,263,34,EASY CLEAR,B,12,0,0,0,---,NO PLAY,---,2016-10-28 20:17
SINOBUZ,焔極OVERKILL,HARDCORE,RoughSketch Vs. L.E.D.-G,33,6,0,0,0,---,NO PLAY,---,10,1607,655,297,55,CLEAR,A,12,0,0,0,---,NO PLAY,---,2017-11-29 19:26
SINOBUZ,獅子霞麗ノ舞,DRAMATIC WALTZ,HuΣeR,2,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,1162,453,256,78,EASY CLEAR,B,2016-11-05 15:32
SINOBUZ,禍根,ORBITALIC FUTURE BASS,U1 overground,1,5,0,0,0,---,NO PLAY,---,9,977,387,203,13,EASY CLEAR,A,11,0,0,0,---,NO PLAY,---,2016-11-24 22:31
SINOBUZ,鴉,CROSSBREED,L.E.D.-G,6,7,0,0,0,---,NO PLAY,---,10,1753,732,289,34,HARD CLEAR,A,11,1758,686,386,120,EASY CLEAR,B,2017-11-15 22:03
